"MLS_NUM","ADDR_LAT","ADDR_LON"
"71025245","42.6311","-71.1858"
"71025859","42.6015","-71.1205"
"71026336","42.6861","-71.1969"
"71026791","42.6735","-71.1536"
"71026923","42.6721","-71.136"
"71027346","42.6652","-71.146"
"71028561","42.66","-71.1326"
"71028608","42.6811","-71.153"
"71028821","42.6046","-71.1042"
"71029647","42.6861","-71.1969"
"71029811","42.6453","-71.1489"
"71030471","42.6631","-71.146"
"71030692","42.6773","-71.1567"
"71030976","42.6506","-71.1752"
"71032676","42.664","-71.1795"
"71033670","42.6447","-71.2163"
"71034662","42.6861","-71.1969"
"71034806","42.6696","-71.2258"
"71034842","42.6244","-71.1222"
"71034844","42.6317","-71.1017"
"71034869","42.6228","-71.1234"
"71035855","42.6689","-71.1694"
"71036146","42.6097","-71.0897"
"71036198","42.6506","-71.1752"
"71037714","42.6224","-71.1135"
"71038135","42.6705","-71.1461"
"71038240","42.6506","-71.1752"
"71038285","42.6381","-71.1619"
"71040276","42.6449","-71.1618"
"71040646","42.6744","-71.1389"
"71041282","42.6652","-71.1459"
"71041303","42.6262","-71.1145"
"71041417","42.6516","-71.2324"
"71041586","42.6539","-71.1221"
"71042184","42.6689","-71.1647"
"71042254","42.6613","-71.1302"
"71042412","42.5789","-71.0924"
"71043179","42.6625","-71.2354"
"71043391","42.6598","-71.1387"
"71045096","42.6525","-71.135"
"71045824","42.6728","-71.1737"
"71045859","42.681","-71.2204"
"71046105","42.6243","-71.1055"
"71049236","42.6046","-71.1137"
"71049764","42.6623","-71.1281"
"71049848","42.6329","-71.1728"
"71049873","42.6623","-71.1641"
"71049876","42.6672","-71.1403"
"71051287","42.6511","-71.1763"
"71051509","42.6545","-71.1291"
"71051658","42.6161","-71.1366"
"71052073","42.6731","-71.1355"
"71052288","42.6015","-71.1205"
"71052293","42.6116","-71.1292"
"71053270","42.6612","-71.1647"
"71053497","42.675","-71.1919"
"71053562","42.6418","-71.2203"
"71053957","42.6624","-71.1418"
"71054046","42.675","-71.1607"
"71054061","42.675","-71.1428"
"71055127","42.6294","-71.1037"
"71055960","42.6533","-71.2277"
"71056073","42.625","-71.1581"
"71056252","42.6196","-71.1257"
"71057032","42.6246","-71.1309"
"71057099","42.6468","-71.1754"
"71057381","42.6196","-71.1248"
"71057533","42.6677","-71.1858"
"71057567","42.6623","-71.1518"
"71058242","42.6774","-71.1915"
"71059154","42.6713","-71.1523"
"71059391","42.6759","-71.153"
"71060287","42.6608","-71.1402"
"71061606","42.6743","-71.2211"
"71061794","42.63","-71.1183"
"71061993","42.634","-71.1786"
"71062048","42.6273","-71.1745"
"71062430","42.6301","-71.1173"
"71062437","42.6298","-71.1168"
"71062773","42.6322","-71.1711"
"71064556","42.674","-71.1347"
"71064576","42.6677","-71.2272"
"71065112","42.6736","-71.1427"
